#Fields: name source_ip date time
BBC 212.58.244.57 09102017 00:23
BBC 212.58.249.145 09102017 00:23
CNN 151.101.193.67 09102017 00:28
TELEGRAPH 54.230.8.34 04102017 15:22
CNN 151.101.1.67 09102017 00:28
CNN 151.101.129.67 09102017 00:28
TELEGRAPH 54.230.8.209 04102017 15:22
TELEGRAPH 54.230.8.153 04102017 15:22
BBC 212.58.244.57 09102017 00:23
TELEGRAPH 54.230.8.121 04102017 15:22
CNN 151.101.65.67 09102017 00:28
TELEGRAPH 54.230.8.121 04102017 15:23
TELEGRAPH 54.230.8.121 04102017 15:24
TELEGRAPH 54.230.8.121 04102017 15:25
