#Fields: source_ip source_ip.country source_ip.asn name date time
"212.58.244.57","GB","AS2818","BBC","09102017","00:23"
"212.58.249.145","GB","AS2818","BBC","09102017","00:23"
"151.101.193.67","US","AS6983","CNN","09102017","00:28"
"54.230.8.34","US","AS16509","TELEGRAPH","04102017","15:22"
"151.101.1.67","US","AS6983","CNN","09102017","00:28"
"151.101.129.67","US","AS6983","CNN","09102017","00:28"
"54.230.8.209","US","AS16509","TELEGRAPH","04102017","15:22"
"54.230.8.153","US","AS16509","TELEGRAPH","04102017","15:22"
"212.58.244.57","GB","AS2818","BBC","09102017","00:23"
"54.230.8.121","US","AS16509","TELEGRAPH","04102017","15:22"
"151.101.65.67","US","AS6983","CNN","09102017","00:28"
"54.230.8.121","US","AS16509","TELEGRAPH","04102017","15:23"
"54.230.8.121","US","AS16509","TELEGRAPH","04102017","15:24"
"54.230.8.121","US","AS16509","TELEGRAPH","04102017","15:25"
